#KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,SC,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,jmag,hmag,kmag,parallax,parallax_error
10351767,Kepler,1153,1,0.6350697,0.0000005,54965.114615,0.013779,0.0349,0.0223,0.1098,0.1123,0.5006,0.58,296.3203,47.4066,80.7763,11.2724,14.539,6113,True,6340,150,-206,4.434,0.054,-0.216,-0.18,0.25,-0.3,1.058,0.335,-0.112,1.106,0.158,-0.144,13.443,13.118,13.009,1.9216400059563503,0.14706974982482832
11027722,Kepler,-1,1,0.6781374,0.0000006,54965.137801,0.007548999999999999,0.0009,-1,0.0629,-1,1,0.47,290.9058,48.5318,80.1754,15.0219,14.291,6212,True,6429,173,-211,4.449,0.081,-0.175,-0.82,0.3,-0.3,0.942,0.242,-0.104,0.91,0.095,-0.087,13.299,13.059,13.013,0.8202884759249209,0.020406975396848825
5123176,Kepler,-1,1,0.7078436,0.0000006,54953.90341900001,0.041312,0.2796,0.2671,0.1286,0.15,0.5037,0.82,297.6401,40.2361,74.8919,6.962,11.461,6750,True,7055,200,-250,4.014,0.315,-0.135,-0.6,0.25,-0.3,1.862,0.449,-0.673,1.306,0.172,-0.236,10.602,10.417,10.391,1.2853051993673843,0.02431143737341544
6669809,Kepler,-1,1,0.7337378000000001,0.0000007,54953.998571000004,0.029897000000000003,0.2424,0.1141,0.1534,0.1101,0.5021,0.65,283.9097,42.131,72.0615,17.0851,10.763,7239,True,7452,209,-314,3.9,0.294,-0.126,-0.1,0.2,-0.35,2.471,0.49,-0.84,1.769,0.185,-0.37,10.089,9.938,9.884,2.0085547712933427,0.025869507533906714
4451148,Kepler,-1,1,0.7359835,0.0000007,54954.38564400001,0.04519,0.134,0.0992,0.1534,0.2426,0.5088,0.82,287.4395,39.5515,70.6673,13.6249,11.174,6579,True,6784,151,-218,4.313,0.072,-0.203,-0.2,0.25,-0.3,1.292,0.449,-0.18,1.259,0.182,-0.182,10.422,10.222,10.168,1.6028090067942313,0.0376617763760068
8590527,Kepler,-1,1,0.7397699999999999,0.0000007,54953.870653,0.012816999999999999,0.0212,0.0058,0.0908,0.0926,0.5001,0.53,301.0482,44.603,79.968,7.0303,11.634,6216,True,6465,155,-194,3.947,0.42,-0.14,-0.52,0.3,-0.3,1.847,0.435,-0.746,1.101,0.161,-0.161,10.623,10.398,10.318,3.238079043489917,0.7368707556282533
2719436,Kepler,-1,1,0.7434798,0.0000078,54999.71536,0.032144,0.1997,0.1289,0.1819,0.185,0.5015,0.68,292.8332,37.9371,71.0494,9.1355,14.015,7041,True,7304,232,-377,4.15,0.153,-0.187,-0.28,0.25,-0.35,1.655,0.521,-0.391,1.41,0.216,-0.241,13.073,12.919,12.858,0.40220896501838366,0.023143389015809843
8579707,Kepler,-1,1,0.7885922,0.0000007,54953.85171,0.042675,0.0352,0.0304,0.2449,0.3171,0.5036,0.95,298.2065,44.6646,78.9808,8.8013,11.544,6244,True,6478,145,-193,4.278,0.108,-0.201,0,0.25,-0.3,1.335,0.43,-0.231,1.233,0.188,-0.171,10.537,10.372,10.304,1.3877479913872148,0.026712196716091156
7950962,Kepler,-1,1,0.8269565999999999,0.0000008,54953.819202,0.05140599999999999,0.1907,0.1875,0.1682,0.2072,0.5123,0.92,288.4098,43.7072,74.8881,14.6462,10.678,6800,True,7024,164,-226,3.966,0.315,-0.135,-0.4,0.3,-0.3,1.98,0.496,-0.744,1.321,0.211,-0.232,9.946,9.812,9.712,1.5839692328593413,0.02166632475983156
2835289,Kepler,-1,1,0.8577619000000001,0.0000008,55000.442959,0.052266999999999994,0.0226,0.0183,0.2371,0.2726,0.5077,0.92,286.8593,38.0275,69.0466,13.4152,13.009,6228,True,6423,155,-194,4.267,0.132,-0.182,-0.22,0.25,-0.3,1.279,0.404,-0.218,1.102,0.177,-0.129,11.98,11.71,11.665,0.8586420330775242,0.01796308367982351
